"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2018","396.25","381.50","398.25","377.50","3.24M","3.73%"
"02/01/2018","382.00","369.00","384.75","364.25","3.74M","3.38%"
"01/01/2018","369.50","359.50","370.25","353.75","1.14M","2.92%"
"12/01/2017","359.00","355.50","362.75","347.50","1.73M","0.91%"
"11/01/2017","355.75","359.50","365.25","348.75","3.91M","-1.04%"
"10/01/2017","359.50","367.25","369.25","356.25","1.06M","-2.24%"
"09/01/2017","367.75","357.00","370.50","345.50","1.77M","2.80%"
"08/01/2017","357.75","383.00","389.00","344.25","4.62M","-7.02%"
"07/01/2017","384.75","384.00","406.75","368.50","3.58M","0.98%"
"06/01/2017","381.00","379.50","399.25","364.50","3.13M","0.26%"
"05/01/2017","380.00","371.50","384.75","365.00","2.31M","3.68%"
"04/01/2017","366.50","373.25","379.50","360.75","3.36M","-1.41%"
"03/01/2017","371.75","373.00","383.00","360.00","2.27M","-0.54%"
"02/01/2017","373.75","367.00","387.25","365.25","2.77M","1.84%"
"01/01/2017","367.00","357.50","377.75","357.50","932.53K","2.66%"
"12/01/2016","357.50","348.50","369.50","341.75","1.77M","2.58%"
"11/01/2016","348.50","362.25","365.25","343.75","2.85M","-3.93%"
"10/01/2016","362.75","346.00","369.00","345.00","980.88K","4.69%"
"09/01/2016","346.50","315.50","352.50","315.00","1.80M","9.83%"
"08/01/2016","315.50","340.75","344.25","314.75","3.89M","-7.95%"
"07/01/2016","342.75","367.50","373.00","333.25","2.59M","-6.22%"
"06/01/2016","365.50","406.25","444.00","360.25","2.62M","-10.14%"
"05/01/2016","406.75","390.25","414.75","368.00","2.41M","3.83%"
"04/01/2016","391.75","356.00","407.25","351.25","4.41M","10.12%"
"03/01/2016","355.75","357.00","378.25","351.50","2.30M","-0.35%"
"02/01/2016","357.00","376.00","378.25","356.75","2.61M","-5.24%"
"01/01/2016","376.75","365.00","377.25","354.25","997.09K","3.36%"
"12/01/2015","364.50","372.25","385.25","363.50","1.76M","-2.08%"
"11/01/2015","372.25","390.75","391.50","364.25","3.10M","-4.92%"
