"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2019","1.5718","1.5360","1.6593","1.4691","239.66K","2.79%"
"09/01/2019","1.5291","1.5004","1.7516","1.4313","229.50K","1.75%"
"08/01/2019","1.5028","1.6849","1.6878","1.4621","228.61K","-11.93%"
"07/01/2019","1.7063","1.8815","1.9704","1.6842","196.76K","-7.97%"
"06/01/2019","1.8541","1.7110","1.9416","1.6367","153.86K","6.61%"
"05/01/2019","1.7392","2.0184","2.0606","1.7259","143.11K","-14.46%"
"04/01/2019","2.0332","1.8753","2.0963","1.8689","122.04K","8.84%"
"03/01/2019","1.8680","1.7711","1.9221","1.7285","130.77K","5.79%"
"02/01/2019","1.7658","1.5925","1.7797","1.5770","121.82K","11.59%"
"01/01/2019","1.5824","1.3215","1.6325","1.2798","156.96K","20.61%"
"12/01/2018","1.3120","1.4413","1.5167","1.2314","151.40K","-6.63%"
"11/01/2018","1.4052","1.7434","1.7569","1.3540","172.18K","-19.81%"
"10/01/2018","1.7523","2.0801","2.1459","1.7460","167.57K","-15.58%"
"09/01/2018","2.0757","1.9788","2.0935","1.9130","124.51K","4.94%"
"08/01/2018","1.9779","1.9612","2.0155","1.8687","167.80K","0.61%"
"07/01/2018","1.9660","2.1216","2.1528","1.9566","154.66K","-7.79%"
"06/01/2018","2.1321","2.1560","2.1632","1.9840","126.58K","-0.96%"
"05/01/2018","2.1528","2.1235","2.2797","2.0570","106.82K","1.22%"
"04/01/2018","2.1268","2.0322","2.1466","1.9422","136.74K","5.03%"
"03/01/2018","2.0250","1.9407","2.0512","1.8721","134.41K","4.42%"
"02/01/2018","1.9393","2.0664","2.0799","1.8395","93.53K","-6.07%"
"01/01/2018","2.0646","1.8202","2.0674","1.7832","96.43K","13.86%"
"12/01/2017","1.8133","1.7555","1.8191","1.6627","78.81K","4.14%"
"11/01/2017","1.7412","1.7304","1.8139","1.7076","78.54K","1.68%"
"10/01/2017","1.7125","1.5640","1.7281","1.5280","84.46K","8.48%"
"09/01/2017","1.5787","1.5969","1.6807","1.5483","89.22K","-1.69%"
"08/01/2017","1.6058","1.5631","1.6684","1.4505","125.30K","2.96%"
"07/01/2017","1.5597","1.4966","1.6483","1.4610","135.19K","3.81%"
"06/01/2017","1.5024","1.6008","1.6069","1.3912","143.44K","-5.20%"
"05/01/2017","1.5848","1.5488","1.6650","1.4692","113.34K","2.07%"
"04/01/2017","1.5527","1.6920","1.7693","1.5433","92.43K","-8.48%"
"03/01/2017","1.6966","1.7375","1.7468","1.5833","115.11K","-3.36%"
"02/01/2017","1.7556","1.7765","1.8085","1.7083","126.49K","-0.79%"
"01/01/2017","1.7695","1.6962","1.7912","1.5244","125.56K","4.93%"
"12/01/2016","1.6864","1.4925","1.7010","1.4914","76.93K","13.07%"
"11/01/2016","1.4914","1.4933","1.5243","1.2754","105.35K","5.24%"
"10/01/2016","1.4172","1.4420","1.5154","1.4113","99.70K","-1.21%"
"09/01/2016","1.4346","1.3180","1.4519","1.2618","131.26K","8.47%"
"08/01/2016","1.3226","1.2443","1.4421","1.2020","99.00K","7.28%"
"07/01/2016","1.2328","1.4875","1.5330","1.2033","69.47K","-18.22%"
"06/01/2016","1.5074","1.5935","1.6388","1.4747","89.07K","-6.51%"
"05/01/2016","1.6124","1.6070","1.6685","1.4518","79.56K","0.25%"
"04/01/2016","1.6084","1.4601","1.6201","1.3807","87.91K","10.07%"
"03/01/2016","1.4613","1.3364","1.5320","1.3141","77.98K","8.39%"
"02/01/2016","1.3482","1.3230","1.3526","1.1265","68.57K","-0.04%"
"01/01/2016","1.3487","1.2958","1.3565","1.0198","82.87K","3.89%"
"12/01/2015","1.2982","1.3452","1.3765","1.1830","76.28K","-0.99%"
"11/01/2015","1.3112","1.3522","1.4467","1.2001","95.14K","-4.38%"
"10/01/2015","1.3712","1.3755","1.4303","1.2634","110.23K","2.57%"
"09/01/2015","1.3368","1.4141","1.4429","1.2947","91.14K","-9.28%"
"08/01/2015","1.4736","1.5290","1.5544","1.2301","83.59K","-6.25%"
"07/01/2015","1.5718","1.9623","1.9979","1.5630","47.36K","-21.40%"
"06/01/2015","1.9997","2.0250","2.1369","1.9236","118.72K","-1.45%"
"05/01/2015","2.0292","2.0105","2.0809","1.9259","104.90K","0.00%"
"04/01/2015","2.0293","1.7653","2.0356","1.7428","131.21K","15.41%"
"03/01/2015","1.7583","1.9233","1.9402","1.6925","115.96K","-10.76%"
"02/01/2015","1.9704","1.7429","1.9743","1.7105","107.52K","16.01%"
"01/01/2015","1.6985","1.4957","1.6782","1.2804","60.85K","12.92%"
"12/01/2014","1.5041","1.8814","1.8879","1.4483","93.88K","-17.86%"
"11/01/2014","1.8311","2.0980","2.1115","1.8316","81.00K","-14.66%"
"10/01/2014","2.1457","2.4066","2.4066","2.0813","64.52K","-10.16%"
"09/01/2014","2.3883","2.5457","2.5884","2.4101","77.92K","-7.68%"
"08/01/2014","2.5870","2.6446","2.6456","2.5228","110.22K","-2.56%"
"07/01/2014","2.6550","3.0060","3.0075","2.8032","83.59K","-11.66%"
"06/01/2014","3.0055","2.9375","3.0991","2.8905","77.23K","2.30%"
"05/01/2014","2.9378","2.8913","3.0157","2.8637","104.67K","0.32%"
"04/01/2014","2.9284","2.8483","3.0595","2.8152","128.45K","0.86%"
"03/01/2014","2.9035","3.0331","3.0351","2.8568","92.45K","-2.16%"
"02/01/2014","2.9675","2.8118","3.0287","2.7844","78.04K","5.48%"
"01/01/2014","2.8133","2.7517","2.8557","2.6081","88.35K","0.77%"
"12/01/2013","2.7919","2.6781","2.8367","2.6357","97.47K","4.44%"
"11/01/2013","2.6732","2.5775","2.7415","2.4964","111.71K","3.16%"
"10/01/2013","2.5913","2.5745","2.6921","2.5389","93.69K","-0.74%"
"09/01/2013","2.6107","2.8445","2.8445","2.5954","69.24K","-8.50%"
"08/01/2013","2.8533","2.8857","2.9675","2.7112","47.00K","0.25%"
"07/01/2013","2.8463","2.7076","3.0884","2.7076","45.90K","5.47%"
"06/01/2013","2.6988","2.7875","2.9008","2.6793","76.96K","-1.37%"
"05/01/2013","2.7363","2.6977","2.9046","2.6973","87.96K","-1.71%"
"04/01/2013","2.7840","3.0804","3.1036","2.7119","82.28K","-9.72%"
