"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2012","682.35","662.00","685.00","656.25","8.52K","4.41%"
"03/01/2012","653.55","690.00","705.00","663.00","0.02K","-7.57%"
"02/01/2012","707.05","685.40","724.40","676.40","77.62K","3.02%"
"01/01/2012","686.35","686.35","686.35","686.35","5.83K","4.67%"
"12/01/2011","655.75","630.30","670.55","607.15","0.03K","7.34%"
"11/01/2011","610.90","648.00","679.65","565.60","77.04K","-6.18%"
"10/01/2011","651.15","651.95","675.00","644.85","5.11K","5.96%"
"09/01/2011","614.55","790.65","791.75","628.80","0.03K","-22.09%"
"08/01/2011","788.80","828.25","850.20","706.00","101.64K","-4.70%"
"07/01/2011","827.70","782.30","840.00","782.30","7.05K","8.92%"
