"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2021","61.23","51.90","63.56","51.53","4.97M","17.57%"
"01/01/2021","52.08","48.49","53.94","47.31","4.28M","7.09%"
"12/01/2020","48.63","45.25","49.43","44.10","3.32M","6.86%"
"11/01/2020","45.51","35.50","46.44","34.04","3.80M","25.89%"
"10/01/2020","36.15","40.15","41.90","35.28","4.20M","-10.67%"
"09/01/2020","40.47","43.12","43.70","36.58","3.78M","-5.66%"
"08/01/2020","42.90","40.70","44.05","39.89","3.45M","5.74%"
"07/01/2020","40.57","39.88","42.51","38.77","3.85M","3.13%"
"06/01/2020","39.34","35.62","41.74","34.65","4.45M","9.77%"
"05/01/2020","35.84","22.04","36.11","20.84","6.47M","64.03%"
"04/01/2020","21.85","24.18","33.15","6.50","11.40M","-10.85%"
"03/01/2020","24.51","43.93","48.82","20.52","9.15M","-45.46%"
"02/01/2020","44.94","51.15","54.66","44.07","5.34M","-13.04%"
"01/01/2020","51.68","61.29","65.40","51.09","4.94M","-14.96%"
"12/01/2019","60.77","55.45","62.14","55.32","4.04M","10.21%"
"11/01/2019","55.14","54.19","58.60","54.14","4.27M","1.64%"
"10/01/2019","54.25","54.13","56.99","50.89","5.19M","0.50%"
"09/01/2019","53.98","54.76","63.89","52.71","5.75M","-1.66%"
"08/01/2019","54.89","57.96","58.05","50.50","5.51M","-6.38%"
"07/01/2019","58.63","59.14","61.02","54.85","5.01M","0.19%"
"06/01/2019","58.52","53.54","59.95","50.79","4.65M","9.10%"
"05/01/2019","53.64","63.53","64.01","53.19","5.14M","-16.16%"
"04/01/2019","63.98","60.36","66.44","60.36","5.47M","6.14%"
"03/01/2019","60.28","57.60","60.87","54.87","4.93M","4.63%"
"02/01/2019","57.61","54.44","58.28","51.62","4.71M","6.61%"
"01/01/2019","54.04","46.12","55.61","44.67","5.11M","18.20%"
"12/01/2018","45.72","51.93","54.77","42.67","4.82M","-10.51%"
"11/01/2018","51.09","65.03","65.53","49.60","5.06M","-21.93%"
"10/01/2018","65.44","73.07","76.72","64.95","5.09M","-10.43%"
"09/01/2018","73.06","69.49","73.56","66.67","4.65M","5.32%"
"08/01/2018","69.37","67.34","70.07","63.89","3.86M","2.57%"
"07/01/2018","67.63","72.00","72.98","66.26","5.07M","-6.67%"
"06/01/2018","72.46","66.96","72.80","63.40","6.10M","8.29%"
"05/01/2018","66.91","68.51","72.90","65.72","6.14M","-2.29%"
"04/01/2018","68.48","64.84","69.55","61.86","6.64M","5.56%"
"03/01/2018","64.87","61.39","66.37","59.91","5.62M","5.53%"
"02/01/2018","61.47","64.53","66.00","57.90","5.92M","-4.79%"
"01/01/2018","64.56","60.21","66.39","60.14","6.52M","6.82%"
"12/01/2017","60.44","57.38","60.53","55.88","4.29M","5.20%"
"11/01/2017","57.45","54.86","58.99","54.11","5.56M","5.24%"
"10/01/2017","54.59","51.84","55.05","49.44","6.16M","5.08%"
"09/01/2017","51.95","47.87","53.11","47.39","6.64M","8.32%"
"08/01/2017","47.96","50.30","50.51","46.14","7.45M","-4.58%"
"07/01/2017","50.26","46.51","50.49","43.83","5.91M","8.58%"
"06/01/2017","46.29","48.84","49.40","42.27","6.03M","-4.67%"
"05/01/2017","48.56","49.47","52.22","44.13","5.94M","-2.14%"
"04/01/2017","49.62","51.15","54.14","48.55","5.20M","-2.84%"
"03/01/2017","51.07","54.41","54.85","47.58","5.99M","-6.17%"
"02/01/2017","54.43","53.42","55.25","51.86","4.66M","1.89%"
"01/01/2017","53.42","55.05","56.18","51.59","5.42M","-2.27%"
"12/01/2016","54.66","50.00","55.44","49.94","5.34M","8.58%"
"11/01/2016","50.34","47.36","50.80","42.95","6.51M","6.07%"
"10/01/2016","47.46","48.64","52.22","47.22","5.88M","-2.79%"
"09/01/2016","48.82","45.50","48.90","43.06","5.97M","7.75%"
"08/01/2016","45.31","42.07","49.36","39.96","5.31M","7.04%"
"07/01/2016","42.33","49.03","50.03","41.30","4.47M","-13.63%"
"06/01/2016","49.01","49.24","52.28","46.40","4.76M","-1.05%"
"05/01/2016","49.53","46.64","50.59","43.65","5.13M","6.08%"
"04/01/2016","46.69","39.49","47.54","36.57","6.07M","17.46%"
"03/01/2016","39.75","35.70","42.88","35.18","5.50M","11.72%"
"02/01/2016","35.58","35.46","36.43","28.74","6.20M","0.85%"
"01/01/2016","35.28","38.75","39.53","27.56","5.28M","-7.57%"
"12/01/2015","38.17","43.00","43.49","35.35","4.06M","-11.15%"
"11/01/2015","42.96","47.26","49.23","41.21","4.04M","-9.50%"
"10/01/2015","47.47","45.85","51.42","43.52","4.13M","4.19%"
"09/01/2015","45.56","48.70","49.50","43.89","3.72M","-8.75%"
"08/01/2015","49.93","47.28","50.04","38.51","4.01M","5.05%"
"07/01/2015","47.53","59.34","59.35","47.10","2.91M","-20.56%"
"06/01/2015","59.83","60.63","62.22","57.21","2.83M","-1.27%"
"05/01/2015","60.60","60.90","63.62","56.88","2.92M","-0.18%"
"04/01/2015","60.71","49.36","60.91","48.79","3.95M","23.04%"
"03/01/2015","49.34","51.71","54.00","44.03","4.17M","-5.37%"
"02/01/2015","52.14","48.62","55.05","47.46","4.04M","6.43%"
"01/01/2015","48.99","54.20","55.51","44.37","3.56M","-8.77%"
"12/01/2014","53.70","66.23","69.63","52.87","2.98M","-18.96%"
"11/01/2014","66.26","80.58","80.87","65.92","2.45M","-17.61%"
"10/01/2014","80.42","90.54","91.95","79.10","3.54M","-10.91%"
"09/01/2014","90.27","94.90","94.94","89.56","2.79M","-5.00%"
"08/01/2014","95.02","96.84","97.75","91.96","2.49M","-2.36%"
"07/01/2014","97.32","104.79","105.40","96.75","3.02M","-7.08%"
"06/01/2014","104.73","102.10","106.93","100.93","2.48M","2.70%"
"05/01/2014","101.98","99.09","103.58","98.10","2.33M","2.90%"
"04/01/2014","99.11","100.76","104.10","98.15","2.66M","-1.70%"
"03/01/2014","100.82","102.18","104.48","97.00","2.63M","-1.05%"
"02/01/2014","101.89","96.62","103.29","95.46","2.23M","5.36%"
"01/01/2014","96.71","98.55","99.08","91.47","2.38M","-1.87%"
"12/01/2013","98.55","93.00","100.79","92.84","1.95M","5.96%"
"11/01/2013","93.01","96.57","96.93","92.10","2.07M","-3.77%"
"10/01/2013","96.65","101.85","103.96","96.14","3.34M","-5.15%"
"09/01/2013","101.90","106.65","109.68","100.64","2.67M","-4.84%"
"08/01/2013","107.08","104.49","111.34","101.82","2.61M","2.74%"
"07/01/2013","104.22","96.40","108.93","95.98","3.10M","8.07%"
"06/01/2013","96.44","91.98","99.21","91.50","2.57M","4.59%"
"05/01/2013","92.21","93.29","97.38","90.32","2.63M","-1.57%"
"04/01/2013","93.68","97.52","98.06","85.90","2.68M","-3.91%"
"03/01/2013","97.49","92.28","97.60","89.78","2.16M","5.44%"
"02/01/2013","92.46","97.88","98.65","91.98","2.18M","-5.61%"
"01/01/2013","97.96","92.19","98.66","91.96","2.26M","6.17%"
"12/01/2012","92.27","89.45","92.40","85.76","1.74M","3.11%"
"11/01/2012","89.49","86.57","90.31","84.53","2.17M","3.18%"
"10/01/2012","86.73","92.56","94.02","85.18","2.70M","-6.30%"
"09/01/2012","92.56","96.68","100.73","89.30","2.20M","-4.34%"
"08/01/2012","96.76","88.26","98.60","87.20","2.03M","9.53%"
"07/01/2012","88.34","85.18","93.25","82.50","2.08M","3.48%"
"06/01/2012","85.37","86.85","87.32","77.70","2.32M","-1.70%"
"05/01/2012","86.85","105.27","106.77","86.19","2.19M","-17.49%"
"04/01/2012","105.26","103.78","105.99","101.22","2.16M","1.66%"
"03/01/2012","103.54","107.27","110.95","102.65","2.26M","-3.70%"
"02/01/2012","107.52","98.85","110.34","95.81","2.53M","8.77%"
"01/01/2012","98.85","99.75","103.90","97.71","2.42M","-0.15%"
"12/01/2011","99.00","100.49","102.56","92.70","1.95M","-1.45%"
"11/01/2011","100.46","92.41","103.37","89.05","2.82M","7.93%"
"10/01/2011","93.08","78.72","94.22","75.15","3.57M","17.33%"
"09/01/2011","79.33","89.12","90.69","77.38","2.76M","-11.03%"
"08/01/2011","89.16","96.65","98.95","76.15","3.21M","-7.25%"
"07/01/2011","96.13","95.56","101.00","94.02","2.38M","0.18%"
